,Date,England,East of England,London,Midlands,North East and Yorkshire,North West,South East,South West
49,2020-04-19,524,67,104,93,88,71,70,31
50,2020-04-20,566,67,96,107,100,83,87,26
51,2020-04-21,487,75,96,87,76,76,51,26
52,2020-04-22,502,67,109,78,84,87,54,23
53,2020-04-23,451,49,77,103,63,85,57,17
54,2020-04-24,438,66,71,79,72,67,64,19
55,2020-04-25,386,54,58,72,69,67,51,15
56,2020-04-26,380,48,53,81,65,55,51,27
57,2020-04-27,345,46,52,74,65,54,41,13
58,2020-04-28,341,58,44,68,57,57,40,17
59,2020-04-29,325,32,45,53,69,64,47,15
60,2020-04-30,313,45,40,56,57,60,29,26
61,2020-05-01,307,49,41,65,64,45,37,6
62,2020-05-02,268,29,41,51,48,56,36,7
63,2020-05-03,251,41,36,52,40,55,17,10
64,2020-05-04,259,19,30,61,49,48,35,17
65,2020-05-05,253,37,25,59,40,49,29,14
66,2020-05-06,267,32,37,59,51,44,25,19
67,2020-05-07,256,33,37,48,45,50,27,16
68,2020-05-08,215,33,31,34,42,43,26,6
69,2020-05-09,203,29,23,37,44,31,28,11
70,2020-05-10,196,22,26,42,40,42,19,5
71,2020-05-11,166,18,18,33,29,35,25,8
72,2020-05-12,183,21,18,45,27,38,27,7
73,2020-05-13,162,27,17,40,28,25,18,7
74,2020-05-14,180,26,20,39,31,26,32,6
75,2020-05-15,172,19,19,40,32,33,25,4
76,2020-05-16,167,26,14,34,35,32,22,4
77,2020-05-17,138,17,16,31,26,24,18,6
78,2020-05-18,161,25,11,37,30,31,23,4
79,2020-05-19,144,15,14,35,27,35,12,6
80,2020-05-20,153,26,19,36,22,27,22,1
81,2020-05-21,150,21,12,32,33,28,15,9
82,2020-05-22,122,13,10,27,22,26,17,7
83,2020-05-23,128,12,6,34,18,31,21,6
84,2020-05-24,116,17,7,20,26,26,17,3
85,2020-05-25,133,25,9,26,21,31,13,8
86,2020-05-26,139,14,14,33,21,27,19,11
87,2020-05-27,122,12,7,29,23,27,19,5
88,2020-05-28,124,17,8,28,21,28,12,10
89,2020-05-29,117,16,7,20,25,20,22,7
90,2020-05-30,92,9,12,21,20,19,8,3
91,2020-05-31,83,8,6,22,20,13,12,2
92,2020-06-01,94,17,10,20,17,12,11,7
93,2020-06-02,109,14,8,22,23,27,13,2
94,2020-06-03,111,10,6,24,24,22,18,7
95,2020-06-04,83,7,8,16,17,22,11,2
96,2020-06-05,86,14,4,21,18,16,11,2
97,2020-06-06,83,5,0,20,21,26,10,1
98,2020-06-07,80,9,5,17,14,20,12,3
99,2020-06-08,73,7,5,16,11,23,8,3
100,2020-06-09,69,6,5,18,12,17,11,0
101,2020-06-10,78,8,8,15,19,16,11,1
102,2020-06-11,49,1,5,13,7,16,5,2
103,2020-06-12,52,9,3,12,9,11,6,2
104,2020-06-13,43,5,3,6,10,10,7,2
105,2020-06-14,58,4,3,18,11,15,7,0
106,2020-06-15,56,8,1,12,9,16,8,2
107,2020-06-16,62,3,2,15,10,16,14,2
108,2020-06-17,51,7,1,11,9,13,10,0
109,2020-06-18,50,4,2,15,11,14,4,0
110,2020-06-19,42,7,5,10,6,7,7,0
111,2020-06-20,45,4,3,15,5,11,5,2
112,2020-06-21,36,3,4,14,4,8,3,0
113,2020-06-22,43,6,2,14,7,11,2,1
114,2020-06-23,53,5,1,16,8,13,9,1
115,2020-06-24,54,4,4,15,10,13,7,1
116,2020-06-25,47,1,3,19,4,15,5,0
117,2020-06-26,38,6,2,5,8,6,8,3
118,2020-06-27,32,6,1,5,4,7,9,0
119,2020-06-28,37,8,2,7,5,9,6,0
120,2020-06-29,29,4,2,6,2,9,5,1
121,2020-06-30,31,5,1,6,7,7,5,0
122,2020-07-01,18,2,3,7,1,3,2,0
123,2020-07-02,36,5,2,10,5,6,8,0
124,2020-07-03,19,0,2,3,4,7,3,0
125,2020-07-04,22,3,1,4,4,4,6,0
126,2020-07-05,25,1,3,6,3,6,5,1
127,2020-07-06,24,2,2,5,2,9,4,0
128,2020-07-07,23,2,1,3,3,8,6,0
129,2020-07-08,21,0,3,5,3,5,3,2
130,2020-07-09,38,8,4,9,0,10,7,0
131,2020-07-10,16,4,0,3,3,2,3,1
132,2020-07-11,13,2,1,0,1,5,4,0
133,2020-07-12,16,1,1,5,4,0,5,0
134,2020-07-13,23,8,1,1,1,6,5,1
135,2020-07-14,13,2,0,1,1,4,5,0
136,2020-07-15,21,0,2,6,2,5,6,0
137,2020-07-16,10,0,0,2,3,2,3,0
138,2020-07-17,10,0,0,3,1,4,1,1
139,2020-07-18,17,0,2,3,2,5,5,0
140,2020-07-19,11,1,0,3,2,3,2,0
141,2020-07-20,11,1,0,3,1,0,6,0
142,2020-07-21,10,1,1,1,1,2,4,0
143,2020-07-22,15,2,0,2,6,3,2,0
144,2020-07-23,15,1,2,6,0,3,3,0
145,2020-07-24,5,1,0,1,1,1,1,0
146,2020-07-25,12,0,1,4,5,1,1,0
147,2020-07-26,12,1,0,4,1,3,3,0
148,2020-07-27,9,1,1,5,0,1,1,0
149,2020-07-28,9,2,0,1,2,1,3,0
150,2020-07-29,6,0,0,1,1,2,2,0
151,2020-07-30,8,0,1,1,0,2,3,1
152,2020-07-31,5,1,0,2,1,0,1,0
153,2020-08-01,7,0,0,0,3,2,2,0
154,2020-08-02,11,0,3,1,2,1,4,0
155,2020-08-03,11,0,0,2,1,8,0,0
156,2020-08-04,8,1,0,1,3,3,0,0
157,2020-08-05,5,1,0,1,1,2,0,0
158,2020-08-06,9,0,1,0,4,2,2,0
159,2020-08-07,6,1,0,3,0,2,0,0
160,2020-08-08,8,0,0,2,2,2,2,0
161,2020-08-09,6,0,0,0,3,3,0,0
162,2020-08-10,8,1,0,0,3,2,2,0
163,2020-08-11,11,2,1,2,2,3,1,0
164,2020-08-12,4,1,0,0,2,0,1,0
165,2020-08-13,4,0,2,0,0,2,0,0
166,2020-08-14,5,1,0,0,1,2,0,1
167,2020-08-15,11,1,0,1,1,6,2,0
168,2020-08-16,3,0,0,0,0,2,1,0
169,2020-08-17,10,0,1,0,6,1,0,2
170,2020-08-18,8,2,1,0,1,2,2,0
171,2020-08-19,3,1,0,0,0,1,1,0
172,2020-08-20,3,1,1,0,0,1,0,0
173,2020-08-21,6,0,0,1,1,4,0,0
174,2020-08-22,5,1,0,0,1,3,0,0
175,2020-08-23,10,1,0,0,3,5,1,0
176,2020-08-24,5,0,1,0,0,4,0,0
177,2020-08-25,10,0,1,2,2,3,1,1
178,2020-08-26,10,1,0,3,2,4,0,0
179,2020-08-27,7,1,0,2,1,1,1,1
180,2020-08-28,5,0,0,1,0,2,2,0
181,2020-08-29,2,0,0,0,1,0,1,0
182,2020-08-30,4,0,0,2,0,2,0,0
183,2020-08-31,7,0,1,1,0,3,2,0
184,2020-09-01,3,0,0,0,2,0,1,0
185,2020-09-02,9,0,1,2,3,2,1,0
186,2020-09-03,4,1,1,0,1,1,0,0
187,2020-09-04,6,1,0,0,1,3,1,0
188,2020-09-05,8,0,0,0,2,6,0,0
189,2020-09-06,7,1,2,1,1,1,1,0
190,2020-09-07,9,0,0,1,0,8,0,0
191,2020-09-08,11,0,0,3,1,6,0,1
192,2020-09-09,7,0,0,0,2,5,0,0
193,2020-09-10,9,0,2,1,0,5,1,0
194,2020-09-11,7,0,1,1,3,1,1,0
195,2020-09-12,8,0,1,2,1,4,0,0
196,2020-09-13,14,1,0,4,3,2,3,1
197,2020-09-14,11,1,0,1,4,4,1,0
198,2020-09-15,12,0,1,2,3,4,2,0
199,2020-09-16,16,0,2,3,3,6,2,0
200,2020-09-17,20,0,2,2,5,7,3,1
201,2020-09-18,19,0,1,5,6,6,1,0
202,2020-09-19,11,0,3,2,2,3,1,0
203,2020-09-20,24,2,3,7,9,2,0,1
204,2020-09-21,17,0,2,3,7,2,3,0
205,2020-09-22,27,2,6,5,5,9,0,0
206,2020-09-23,37,1,4,10,6,14,2,0
207,2020-09-24,25,0,3,7,3,10,1,1
208,2020-09-25,22,1,1,4,5,8,3,0
209,2020-09-26,30,1,1,5,7,14,2,0
210,2020-09-27,34,1,1,9,10,11,2,0
211,2020-09-28,38,2,3,6,6,15,6,0
212,2020-09-29,35,2,7,4,7,12,3,0
213,2020-09-30,41,2,6,5,7,17,4,0
214,2020-10-01,43,2,4,8,8,17,4,0
215,2020-10-02,48,1,1,7,16,20,2,1
216,2020-10-03,38,1,3,6,12,15,1,0
217,2020-10-04,38,0,2,7,13,15,1,0
218,2020-10-05,40,0,7,6,10,15,2,0
219,2020-10-06,50,4,4,5,15,20,1,1
220,2020-10-07,58,6,6,9,13,20,4,0
221,2020-10-08,57,3,6,8,16,22,1,1
222,2020-10-09,51,1,7,7,10,24,1,1
223,2020-10-10,61,6,3,2,16,31,3,0
224,2020-10-11,76,2,5,15,16,31,3,4
225,2020-10-12,72,2,7,7,15,35,4,2
226,2020-10-13,70,1,4,16,21,26,2,0
227,2020-10-14,81,3,6,12,20,35,2,3
228,2020-10-15,91,4,13,11,23,36,3,1
229,2020-10-16,91,5,6,18,24,34,2,2
230,2020-10-17,130,6,2,25,34,52,3,8
231,2020-10-18,91,7,5,11,22,40,4,2
232,2020-10-19,116,5,11,14,34,43,7,2
233,2020-10-20,133,9,8,19,38,48,8,3
234,2020-10-21,146,8,14,15,43,51,9,6
235,2020-10-22,146,7,12,34,33,49,5,6
236,2020-10-23,146,14,7,32,31,50,7,5
237,2020-10-24,139,1,18,25,34,51,5,5
238,2020-10-25,162,10,10,30,35,63,9,5
239,2020-10-26,172,10,10,33,46,53,13,7
240,2020-10-27,168,8,12,38,45,49,10,6
241,2020-10-28,179,12,23,30,39,57,10,8
242,2020-10-29,209,10,14,42,51,74,7,11
243,2020-10-30,207,12,17,42,49,73,6,8
244,2020-10-31,213,15,7,50,58,63,15,5
245,2020-11-01,222,14,17,44,48,76,18,5
246,2020-11-02,222,9,16,58,50,65,13,11
247,2020-11-03,209,14,10,37,48,77,16,7
248,2020-11-04,235,11,18,67,57,64,10,8
249,2020-11-05,218,12,17,50,57,67,10,5
250,2020-11-06,234,19,12,43,57,76,16,11
251,2020-11-07,272,10,21,60,75,79,17,10
252,2020-11-08,257,13,15,55,63,83,18,10
253,2020-11-09,311,16,28,67,87,82,19,12
254,2020-11-10,267,26,14,68,65,68,20,6
255,2020-11-11,241,14,15,58,59,62,20,13
256,2020-11-12,272,14,16,64,77,64,20,17
257,2020-11-13,263,21,14,47,79,81,12,9
258,2020-11-14,271,19,21,66,72,61,24,8
259,2020-11-15,298,13,18,72,79,75,25,16
260,2020-11-16,273,11,29,66,53,74,22,18
261,2020-11-17,293,17,29,66,68,73,23,17
262,2020-11-18,329,19,23,83,81,71,26,26
263,2020-11-19,295,23,24,73,72,67,21,15
264,2020-11-20,302,24,20,88,75,52,18,25
265,2020-11-21,267,19,19,59,54,68,23,25
266,2020-11-22,320,21,29,84,80,52,30,24
267,2020-11-23,298,18,19,80,84,54,29,14
268,2020-11-24,312,21,27,73,81,64,26,20
269,2020-11-25,325,19,30,74,70,65,42,25
270,2020-11-26,284,19,25,77,64,53,30,16
271,2020-11-27,285,14,28,78,62,51,31,21
272,2020-11-28,313,28,23,80,77,46,24,35
273,2020-11-29,312,19,40,86,61,54,37,15
274,2020-11-30,269,22,19,79,56,48,23,22
275,2020-12-01,273,26,28,74,44,53,29,19
276,2020-12-02,267,18,30,64,59,48,33,15
277,2020-12-03,301,24,27,82,71,47,36,14
278,2020-12-04,296,25,30,67,65,48,41,20
279,2020-12-05,261,25,26,71,48,37,37,17
280,2020-12-06,276,22,25,75,66,43,32,13
281,2020-12-07,255,16,30,68,50,50,25,16
282,2020-12-08,292,26,35,66,54,49,43,19
283,2020-12-09,276,20,28,64,50,48,44,22
284,2020-12-10,302,32,31,75,56,49,38,21
285,2020-12-11,293,32,27,65,58,41,50,20
286,2020-12-12,299,27,33,81,55,48,40,15
287,2020-12-13,290,25,33,79,51,42,41,19
288,2020-12-14,306,32,39,77,49,51,38,20
289,2020-12-15,317,35,49,73,55,34,51,20
290,2020-12-16,275,29,37,74,40,41,45,9
291,2020-12-17,343,44,58,86,49,26,54,26
292,2020-12-18,334,44,43,81,59,47,49,11
293,2020-12-19,314,54,42,57,50,45,44,22
294,2020-12-20,340,52,54,67,54,37,57,19
295,2020-12-21,386,66,60,86,35,51,66,22
296,2020-12-22,367,52,59,74,57,52,62,11
297,2020-12-23,374,62,58,58,60,50,70,16
298,2020-12-24,376,61,65,68,50,58,56,18
299,2020-12-25,420,58,82,81,57,52,71,19
300,2020-12-26,443,64,82,74,68,56,75,24
301,2020-12-27,457,54,92,87,73,50,77,24
302,2020-12-28,440,71,89,64,66,48,81,21
303,2020-12-29,453,54,110,83,59,49,78,20
304,2020-12-30,476,76,100,100,42,49,92,17
305,2020-12-31,515,82,110,89,51,62,93,28
306,2021-01-01,495,90,114,77,71,54,60,29
307,2021-01-02,502,66,126,76,60,55,95,24
308,2021-01-03,471,78,107,71,49,57,81,28
309,2021-01-04,591,88,151,96,65,51,107,33
310,2021-01-05,616,102,149,107,64,56,107,31
311,2021-01-06,637,100,147,112,61,69,121,27
312,2021-01-07,662,116,159,106,73,61,116,31
313,2021-01-08,660,97,140,131,68,65,125,34
314,2021-01-09,691,133,148,141,58,70,115,26
315,2021-01-10,716,125,161,122,81,66,127,34
316,2021-01-11,766,126,163,147,83,79,128,40
317,2021-01-12,822,131,172,161,69,66,170,53
318,2021-01-13,778,131,167,141,77,85,134,43
319,2021-01-14,787,128,158,157,71,93,141,39
320,2021-01-15,755,119,148,131,97,87,126,47
321,2021-01-16,836,132,160,151,99,83,154,57
322,2021-01-17,828,133,170,159,76,81,165,44
323,2021-01-18,844,120,187,164,83,92,151,47
324,2021-01-19,865,130,182,157,104,92,155,45
325,2021-01-20,841,148,161,152,92,89,134,65
326,2021-01-21,844,136,182,158,87,85,134,62
327,2021-01-22,811,123,143,161,80,110,133,61
328,2021-01-23,733,102,141,142,69,103,122,54
329,2021-01-24,737,101,130,169,64,96,118,59
330,2021-01-25,738,114,128,155,79,86,114,62
331,2021-01-26,706,89,119,144,73,103,131,47
332,2021-01-27,681,94,113,139,71,104,113,47
333,2021-01-28,716,111,109,141,73,102,127,53
334,2021-01-29,680,96,96,151,85,101,109,42
335,2021-01-30,583,85,88,124,76,77,94,39
336,2021-01-31,577,74,91,112,82,87,95,36
337,2021-02-01,583,67,80,137,79,96,95,29
338,2021-02-02,579,75,100,131,70,82,83,38
339,2021-02-03,606,82,108,135,83,71,95,32
340,2021-02-04,491,75,64,111,70,79,58,34
341,2021-02-05,504,66,86,111,80,67,69,25
342,2021-02-06,459,78,62,93,52,62,73,39
343,2021-02-07,453,62,71,109,59,53,63,36
344,2021-02-08,464,73,66,100,52,74,67,32
345,2021-02-09,411,63,58,97,54,69,38,32
346,2021-02-10,421,53,71,94,62,72,50,19
347,2021-02-11,413,52,50,91,67,68,65,20
348,2021-02-12,387,47,52,88,60,67,44,29
349,2021-02-13,338,47,44,67,53,62,35,30
350,2021-02-14,330,33,42,83,60,51,43,18
351,2021-02-15,362,48,38,86,61,57,50,22
352,2021-02-16,331,47,50,78,49,55,40,12
353,2021-02-17,316,46,44,67,49,55,35,20
354,2021-02-18,303,31,44,67,48,52,40,21
355,2021-02-19,268,29,42,54,45,40,39,19
356,2021-02-20,246,31,28,67,39,34,33,14
357,2021-02-21,244,25,36,56,40,36,35,16
358,2021-02-22,200,26,31,53,21,26,31,12
359,2021-02-23,217,28,23,57,38,36,29,6
360,2021-02-24,202,19,25,51,34,35,27,11
361,2021-02-25,188,24,21,52,29,22,27,13
362,2021-02-26,172,15,23,42,26,38,21,7
363,2021-02-27,175,23,18,45,32,26,24,7
364,2021-02-28,163,18,13,46,29,32,14,11
365,2021-03-01,172,18,25,41,20,32,21,15
366,2021-03-02,129,19,21,31,17,13,20,8
367,2021-03-03,130,12,8,38,28,23,18,3
368,2021-03-04,119,19,12,31,17,12,24,4
369,2021-03-05,143,13,18,37,28,25,18,4
370,2021-03-06,111,12,17,21,25,15,14,7
371,2021-03-07,98,16,12,16,19,23,11,1
372,2021-03-08,111,15,9,32,20,16,10,9
373,2021-03-09,97,12,10,22,22,14,13,4
374,2021-03-10,89,9,12,24,16,13,11,4
375,2021-03-11,94,11,12,24,15,17,12,3
376,2021-03-12,79,4,7,26,16,10,13,3
377,2021-03-13,79,11,9,21,14,11,8,5
378,2021-03-14,69,6,4,15,12,20,10,2
379,2021-03-15,73,6,7,18,14,16,9,3
380,2021-03-16,62,8,4,13,11,12,12,2
381,2021-03-17,67,9,10,19,8,12,5,4
382,2021-03-18,47,2,9,15,10,4,6,1
383,2021-03-19,52,4,5,11,7,13,9,3
384,2021-03-20,55,5,3,17,10,13,6,1
385,2021-03-21,54,9,5,14,10,10,2,4
386,2021-03-22,44,3,6,14,7,7,5,2
387,2021-03-23,54,8,2,13,14,12,3,2
388,2021-03-24,32,4,6,5,4,4,8,1
389,2021-03-25,42,6,2,9,7,11,5,2
390,2021-03-26,33,1,2,9,10,6,4,1
391,2021-03-27,20,3,4,6,3,1,2,1
392,2021-03-28,22,3,3,4,4,5,2,1
393,2021-03-29,35,5,1,11,6,8,4,0
394,2021-03-30,31,6,4,8,6,5,2,0
395,2021-03-31,37,2,5,10,8,5,5,2
396,2021-04-01,25,3,4,6,5,4,2,1
397,2021-04-02,22,2,4,7,3,2,4,0
398,2021-04-03,25,6,3,5,3,4,2,2
399,2021-04-04,20,4,0,5,4,4,2,1
400,2021-04-05,12,0,2,4,2,2,1,1
401,2021-04-06,13,0,1,4,5,1,2,0
402,2021-04-07,22,2,3,3,5,4,3,2
403,2021-04-08,31,4,3,5,8,6,3,2
404,2021-04-09,18,2,0,4,4,7,0,1
405,2021-04-10,22,5,4,3,3,5,2,0
406,2021-04-11,16,0,5,4,5,1,0,1
407,2021-04-12,26,1,0,5,9,7,2,2
408,2021-04-13,19,3,3,3,4,4,2,0
409,2021-04-14,10,1,0,2,3,1,3,0
410,2021-04-15,13,1,1,2,8,0,1,0
411,2021-04-16,14,4,3,2,3,2,0,0
412,2021-04-17,10,0,1,1,5,1,1,1
413,2021-04-18,13,2,2,5,1,1,1,1
414,2021-04-19,8,1,3,3,0,1,0,0
415,2021-04-20,14,2,1,1,4,3,2,1
416,2021-04-21,6,1,0,1,1,1,0,2
